"measure_id","measure_name","location_id","ihme_loc_id","location_name","sex_id","sex","age_group_id","age_group_name","year_id","metric_id","metric_name","rei_id","rei_name","threshold","population","mean","upper","lower"
18,"Proportion",6,"CHN","China",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,11489060.761395,0.0814070943769282,0.139,0.04
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,294239.333348347,0.606014246970632,0.953,0.136
18,"Proportion",8,"TWN","Taiwan (Province of China)",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,159004.932477177,0.00487132602689142,0.015,0
18,"Proportion",10,"KHM","Cambodia",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,349554.871405909,0.803917987148631,0.988,0.32
18,"Proportion",11,"IDN","Indonesia",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,4336505.98025871,0.0516380594454327,0.104,0.02
18,"Proportion",12,"LAO","Lao People's Democratic Republic",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,170488.281534935,0.400304720173091,0.878,0.058
18,"Proportion",13,"MYS","Malaysia",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,473688.5520914,0.00585663010891486,0.017,0
18,"Proportion",14,"MDV","Maldives",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,6003.22870369095,0.0366516489124341,0.14,0.007
18,"Proportion",15,"MMR","Myanmar",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,1045899.95792757,0.440289724830166,0.898,0.077
18,"Proportion",16,"PHL","Philippines",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,2234001.41288077,0.316420912934372,0.768,0.048
18,"Proportion",17,"LKA","Sri Lanka",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,301076.347449404,0.0329623574788972,0.131,0.005
18,"Proportion",18,"THA","Thailand",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,536765.204395721,0.0130010047387223,0.037,0.002
18,"Proportion",19,"TLS","Timor-Leste",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,39251.8255963241,0.573356327039971,0.946,0.133
18,"Proportion",20,"VNM","Viet Nam",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,1550823.57387195,0.143518873328697,0.491,0.018
18,"Proportion",22,"FJI","Fiji",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,17908.7854246912,0.00418269354809366,0.012,0
18,"Proportion",23,"KIR","Kiribati",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,2860.1345383684,0.0184036711505392,0.055,0.003
18,"Proportion",24,"MHL","Marshall Islands",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,1128.84568883546,0.0124699577489052,0.036,0.002
18,"Proportion",25,"FSM","Micronesia (Federated States of)",3,"Both",NA,"<1",2021,NA,NA,242,"Lead exposure in blood",5,1844.35821409773,0.0144851765683732,0.046,0.002
