"measure_id","measure_name","location_id","ihme_loc_id","location_name","sex_id","sex","age_group_id","age_group_name","year_id","metric_id","metric_name","rei_id","rei_name","threshold","population","mean","upper","lower"
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",9,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.2989277050468507,0.8752,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",10,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.2951992256252005,0.888,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",11,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3427878826432319,0.9282,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",12,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3411815312455057,0.9307999999999998,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",13,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3855703872511769,0.9616,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",14,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.39833573041090115,0.9548000000000001,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",15,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.44534691564827994,0.9834,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",16,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.48020324710677226,0.994,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",17,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.48750152450629625,0.9972,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",18,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5286486678997654,1,2e-4
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",19,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5434632632813009,1,0.0016
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",20,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5820334023131886,1,0.0044
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",30,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5782710292087432,1,0.0056
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",31,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.6250954887589955,1,0.0102
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",32,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.6672497786708155,1,0.026
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",34,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.17781297480949979,0.655333333333333,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",235,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.7992591015403357,1,0.079
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",238,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.17009780993426238,0.653,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",388,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.17292037879510355,0.681,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",389,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.1730347891208942,0.679,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",NA,"0 to 14",2023,NA,NA,242,"Lead exposure in blood",50,436230430.9213875,0.18994848552473184,0.7114,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",NA,"25+",2023,NA,NA,242,"Lead exposure in blood",50,1499033978.233478,0.4248413916362522,0.9958,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",NA,"<1",2023,NA,NA,242,"Lead exposure in blood",50,20898480.884137154,0.1739343777352244,0.68,0
18,"Proportion",4,"S6","Southeast Asia, East Asia, and Oceania",3,"Both",NA,"<20",2023,NA,NA,242,"Lead exposure in blood",50,578267163.6503727,0.20346830521339918,0.7478,0
